iter	Passed	Remaining
0	81	81288
1	175	87707
2	236	78567
3	322	80331
4	404	80503
5	478	79266
6	560	79530
7	639	79293
8	745	82063
9	820	81199
10	900	80937
11	963	79327
12	1048	79609
13	1132	79734
14	1214	79760
15	1295	79680
16	1390	80428
17	1492	81415
18	1569	81039
19	1655	81099
20	1748	81514
21	1834	81572
22	1922	81664
23	2005	81554
24	2091	81574
25	2195	82242
26	2277	82062
27	2354	81749
28	2440	81706
29	2517	81400
30	2597	81188
31	2691	81428
32	2778	81405
33	2855	81116
34	2939	81053
35	3023	80956
36	3117	81147
37	3198	80978
38	3282	80887
39	3360	80651
40	3442	80523
41	3509	80043
42	3585	79794
43	3663	79595
44	3748	79541
45	3837	79590
46	3930	79697
47	4014	79624
48	4102	79618
49	4181	79453
50	4266	79382
51	4349	79295
52	4432	79191
53	4501	78865
54	4580	78694
55	4660	78561
56	4738	78394
57	4828	78419
58	4908	78281
59	4988	78149
60	5042	77620
61	5123	77516
62	5196	77282
63	5285	77294
64	5370	77257
65	5457	77232
66	5540	77155
67	5615	76965
68	5710	77048
69	5796	77013
70	5877	76903
71	5965	76886
72	6045	76774
73	6132	76740
74	6209	76581
75	6294	76525
76	6383	76523
77	6470	76488
78	6556	76433
79	6642	76389
80	6718	76222
81	6798	76114
82	6884	76063
83	6964	75949
84	7040	75787
85	7108	75553
86	7178	75336
87	7244	75083
88	7320	74930
89	7393	74761
90	7475	74670
91	7557	74593
92	7636	74472
93	7710	74313
94	7787	74189
95	7872	74132
96	7956	74068
97	8030	73917
98	8103	73749
99	8178	73609
100	8264	73565
101	8353	73541
102	8439	73496
103	8513	73345
104	8594	73258
105	8683	73232
106	8756	73075
107	8830	72936
108	8908	72820
109	8983	72684
110	9055	72525
111	9130	72391
112	9202	72237
113	9287	72181
114	9361	72044
115	9431	71876
116	9511	71782
117	9596	71727
118	9687	71718
119	9771	71661
120	9845	71522
121	9915	71355
122	9994	71264
123	10064	711031124	10140	70982
125	10224	70924
126	10306	708127127	10400	70853
128	10485	70799
129	10566	70711
130	10635	70552
131	10713	70451
132	10792	703133133	10882	70329
134	10963	70248
135	11040	70136
136	11121	70060
137	11208	70012
138	11289	69927
139	11381	69913
140	11478	69929
141	11567	69891
142	11646	69796
143	11727	69711
144	11811	69646
145	11889	69546
146	11970	69461
147	12067	691148148	12114	691149149	12160	681150150	12239	681151151	12293	68152	12160	67317
1153	12205	670531154	12255	66813
155	12294	66514
156	12342	66270
157	12386	66007
158	12422	65705
159	12450	65362
160	12482	65047
161	12514	64737
162	12541	64398
163	12574	64100
164	12608	63808
165	12634	63478
166	12670	63198
167	12708	62937
168	12739	62643
169	12782	62410
170	12819	62147
171	12859	61906
172	12895	61644
173	12924	61354
174	12954	61072
175	12983	60786
176	13013	60511
177	13047	60252
178	13079	59988
179	13114	59742
180	13152	59511
181	13188	59275
182	13226	59051
183	13273	58867
184	13334	58742
185	13361	58475
186	13390	58216
187	13414	57938
188188	13732	58927
189	13770	58190	190	13816	58191	191	13898	58192	192	13949	58193	193	14007	58194	194	14074	58195	195	14123	57196	196	14169	57197	197	14222	57198	198	14295	57540
199	14333	57334
200	14407	57272
201	14523	57374
202	14592	57292
203	14664	57220
204	14713	57060
205	14768	56924
206	14833	56827
207	14894	56712
208	14950	56582
209	15013	56480
210	15096	56450
211	15248	56679
212	15288	56490
213	15345	56361
214	15389	56188
215	15437	56030
216	15492	55900
217	15543	55758
218	15580	55563
219	15616	55367
220	15645	55149
221	15693	54999
222	15741	54849
223	15767	54624
224	15788	54384
225	15814	54162
226	15838	53934
227	15860	53703
228	15885	53485
229	15908	53257
230	15927	53023
231	15948	527232	15681	51622
233	15740	51525
234	15806	51456
235	15862	51352
236	15902	51198
237	15962	51105
238	16047	51097
239	16098	50979
240	16139	50829
241	16189	50708
242	16221	50532
243	16253	50359
244	16281	50173
245	16313	50000
246	16343	49823
247	16380	49669
248	16412	49501
249	16473	49419
250	16556	49407
251	16606	49292
252	16640	49131
253	16676	48980
254	16720	48849
255	16760	48710
256	16802	48576
257	16852	48466
258	16891	48326
259	16954	48256
260	17002	48140
261	17040	47998
262	17087	47882
263	17130	47758
264	17262	47877
265	17327	47812
266	17371	47688
267	17425	47595
268	17467	47468
269	17520	47370
270	17566	47255
271	17608	47129
272	17647	46996
273	17700	46899
274	17772	46855
275	17821	46748
276	17862	46621
277	17900	46489
278	17929	46333
279	17960	46183
280	17995	46045
281	18024	45892
282	18052	45736
283	18081	45586
284	18110	45434
285	18153	45320
286	18189	45187
287	18228	45063
288	18266	44938
289	18300	44803
290	18339	44681
291	18386	44581
292	18415	44436
293	18444	44292
294	18471	44143
295	18500	44000
296	18530	43862
297	18568	43740
298	18600	43609
299	18637	43487
300	18686	43394
301	18748	43333
302	18793	43232
303	18838	43129
304	18883	43028
305	18922	42916
306	18960	42800
307	18989	42664
308	19019	42531
309	19049	42400
310	19079	42269
311	19108	42136
312	19140	42010
313	19180	41903
314	19235	41828
315	19285	41744
316	19330	41648
317	19373	41550
318	19416	41449
319	19453	41338
320	19497	41242
321	19537	41137
322	19580	41039
323	19616	40927
324	19658	40829
325	19686	40701
326	19721	40588
327	19764	40493
328	19801	40385
329	19835	40271
330	19868	40158
331	19905	40051
332	19943	39947
333	19976	39832
334	20014	39730
335	20050	39622
336	20083	39511
337	20115	39397
338	20146	39281
339	20184	39180
340	20215	39067
341	20249	38958
342	20293	38870
343	20335	38779
344	20395	38721
345	20451	38657
346	20496	38570
347	20565	38531
348	20648	38516
349	20726	38492
350	20779	38421
351	20822	38332
352	20860	38234
353	20898	38136
